Time,Action,Data
2015/02/11 22:14:18,Expire,
2015/02/11 22:15:28,Create,"{u'description': u'Judge the similarity between pairs of sentences, simple and fun.', u'title': u'Sentence comparison study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e1.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, short', u'auto_approval_delay': u'5 minutes', u'reward': 0.3}"
2015/02/11 22:54:46,Add,95 assignments
2015/02/24 08:44:32,Expire,
2015/02/24 08:44:35,Expire,
2015/02/24 08:48:16,Create,"{u'description': u'Judge whether one sentence follows from another, simple and fun.', u'title': u'Sentence judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e2.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, short', u'auto_approval_delay': u'5 minutes', u'reward': 0.3}"
2015/02/26 22:44:42,Create,"{u'description': u'Judge whether one sentence follows from another, simple and fun.', u'title': u'Sentence judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e3.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, short', u'auto_approval_delay': u'5 minutes', u'reward': 0.3}"
2015/03/05 15:45:43,Create,"{u'description': u'Judge whether one sentence follows from another, simple and fun.', u'title': u'Sentence judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e4.html', u'assignment_duration': u'15 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, short', u'auto_approval_delay': u'5 minutes', u'reward': 0.2}"
2015/04/09 12:20:48,Create,"{u'description': u'Judge whether one sentence follows from another, simple and fun.', u'title': u'Sentence judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e4.html', u'assignment_duration': u'15 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, short', u'auto_approval_delay': u'5 minutes', u'reward': 0.2}"
2015/04/17 14:57:46,Create,"{u'description': u'Help us understand online star ratings for restaurants. Short, easy judgment study.', u'title': u'Ratings judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e5a.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 0.5}"
2015/04/17 22:34:43,Expire,
2015/04/17 22:37:27,Create,"{u'description': u'Help us understand online star ratings for restaurants. Short, easy judgment study.', u'title': u'Ratings judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e5.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 0.5}"
2015/04/19 21:59:23,Expire,
2015/04/19 22:01:23,Create,"{u'description': u'Help us understand online star ratings for restaurants. Short, easy judgment study.', u'title': u'Ratings judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e5.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 0.5}"
2015/04/24 08:46:49,Create,"{u'description': u'Help us understand online star ratings for restaurants. Short, easy judgment study.', u'title': u'Ratings judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e6.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 0.2}"
2015/05/01 13:58:17,Create,"{u'description': u'Help us understand online star ratings for restaurants. Short, easy judgment study.', u'title': u'Ratings judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e7.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 0.2}"
2015/07/30 15:28:17,Create,"{u'description': u'Help us understand online star ratings for restaurants. Short, easy judgment study.', u'title': u'Ratings judgment study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e8.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'mike', u'keywords': u'Language, experiment, rating', u'auto_approval_delay': u'5 minutes', u'reward': 0.2, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2015/09/29 21:47:54,Create,"{u'description': u'Help us find words that are similar', u'title': u'Language Study', u'url': u'https://langcog.stanford.edu/expts/scalar_implicature/implicatures_e9.html', u'assignment_duration': u'20 minutes', u'qualifications': {u'location': u'US', u'approval_percentage': 85}, u'frame_height': 450, u'experimenter': u'ben', u'keywords': u'Language, experiment', u'auto_approval_delay': u'5 minutes', u'reward': 0.2, u'server_log_path': u'http://langcog.stanford.edu/cgi-bin/cosub/log_submission.php'}"
2015/09/29 21:55:34,Expire,
2015/10/02 15:08:06,Add,2 assignments
2015/10/02 15:08:06,Add,5 minutes
2015/10/02 15:09:48,Expire,
2015/10/02 15:10:23,Add,2 assignments
